NombreMedio,CódigoMedio,Amplitud,PropiedadLegal,NumArticulos2017,FollowersInicio2017,FollowersFin2017
Diario Paillaco,DiarioPaillaco ,HL,Grupo Diario Sur,1782,1662,2167
Reloncaví-Oficial ,RReloncavi,L,Sociedad René Salinas Palacios,178,1239,2119
Panguipulli Noticias ,panguipullinoti,HL,Panguipulli Noticias,331,1943,2112
la7,la7talca,L,La 7,2146,1404,2044
Radio Cauquenes ,RadioCauquenes,HL,Radio Cauquenes,115,1847,1971
Infomariquina,Infomariquinacl,L,InfoMariquina,109,1729,1937
CauqueninoCom,CCauqueninoCom,HL,El cauquenino,156,1620,1836
El Paradiario14,elparadiario14,L,Grupo Mi Voz Red de Diarios Ciudadanos,906,1767,1789
Punto Final,puntofinal_cl,N,Ediciones Punto Final,9,1626,1673
El Ariqueño Noticias,ElAriqueno,L,BS Comunicaciones,1187,1492,1646
Radio Nahuelbuta Fm,radionahuelbuta,L,Parroquia San José,13,1437,1589
El Montepatrino,elmontepatrino,L,Red de Diarios Comunales Sociedad Limitada,281,1074,1512
El Bulnensino,el_bulnensino,HL,El bulnesino,12,1145,1227
El combarbalino,elcombarbalino,L,Red de Diarios Comunales Sociedad Limitada,211,775,1197
El Salamanquino,el_salamanquino,L,Red de Diarios Comunales Sociedad Limitada,161,992,1189
Radio Fm Pulso ,FMPULSO,N,FM Pulso,72,821,971
El Hurtadino,elhurtadino,L,Red de Diarios Comunales Sociedad Limitada,165,644,895
CoolTV,CoolTV_Valdivia,HL,CoolTV,13,732,872
La Perla del Limarí,laperladelimari,L,Red de Diarios Comunales,249,422,751
El Comunal,DiarioElComunal,L,Red de Diarios Comunales Sociedad Limitada,520,468,668
Diario Aysén,diariodeaysen,L,EL DIARIO DE AYSEN S.A,180,627,657
El Punitaquino,elpunitaquino,L,Red de Diarios Comunales Sociedad Limitada .,163,382,560
El Vileno,elvileno,L,Red de Diarios Comunales Sociedad Limitada .,188,354,553
El Canelino,elcanelino,L,Red de Diarios Comunales Sociedad Limitada,158,367,545
El Illapelino,elillapelino,L,Red de Diarios Comunales Sociedad Limitada,166,158,315
